
    Input_energy(t,conv,z) := data table 
                               1         2         3         4         5         6         7         8         9        10        11
                     !  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------
(   1, Gas_CHP       )                                                                                             499.444          
(   2, Gas_CHP       )   463.947   463.947   463.947   463.947   463.947   463.947   463.947   463.947   463.947   463.947   963.391
(   3, Gas_CHP       )   603.842   603.842   603.842   603.842   603.842   603.842   603.842   603.842   603.842   603.842   603.842
(   4, Gas_CHP       )  1014.281  1014.281  1014.281  1014.281  1014.281  1338.464  1014.281  1014.281  1014.281  1014.281  1014.281
(   4, Heat_pump     )   129.246   129.246   129.246   129.246   129.246    76.668   129.246   129.246   129.246   129.246   129.246
(   5, Gas_CHP       )  1050.555  1050.555  1050.555  1050.555  1050.555  1050.555  1050.555  1050.555  1374.376  1050.555  1050.555
(   5, Heat_pump     )   142.113   142.113   142.113   142.113   142.113   142.113   142.113   142.113    89.593   142.113   142.113
(   6, Gas_CHP       )   755.607   755.607   755.607   755.607   755.607   755.607   755.607   755.607   755.607   755.607   755.607
(   6, Heat_pump     )    50.888    50.888    50.888    50.888    50.888    50.888    50.888    50.888    50.888    50.888    50.888
(   7, Gas_CHP       )  2556.075  2556.075  2556.075  2556.075  2556.075  2556.075  2556.075  2556.075  2556.075  2556.075  2556.075
(   7, Heat_pump     )   366.687   366.687   366.687   366.687   366.687   366.687   366.687   366.687   366.687   366.687   366.687
(   8, Gas_CHP       )  3237.033  3238.120  3238.120  3238.120  3238.120  3238.120  3238.120  3561.941  3237.033  3238.120  3237.033
(   8, Heat_pump     )   270.306   270.632   270.632   270.632   270.632   270.632   270.632   218.112   270.306   270.632   270.306
(   9, Gas_CHP       )  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333
(   9, Heat_pump     )   527.456   527.456   527.456   527.456   527.456   527.456   527.456   527.456   527.456   527.456   527.456
(   9, Solar_PV      )    26.396    26.396    26.396    26.396    26.396    26.396    26.396    26.396    26.396    26.396    26.396
(   9, Solar_thermal )     0.270     0.270     0.270     0.270     0.270     0.270     0.270     0.270     0.270     0.270     0.270
(  10, Gas_CHP       )  3091.910  3177.083  3177.083  3177.083  3177.083  3177.083  3177.083  3177.083  3344.012  3177.083  3017.866
(  10, Heat_pump     )   641.931   667.483   667.483   667.483   667.483   667.483   667.483   667.483   567.562   667.483   619.718
(  10, Solar_PV      )   133.816   133.816   133.816   133.816   133.816   133.816   133.816   133.816   133.816   133.816   133.816
(  10, Solar_thermal )     1.368     1.368     1.368     1.368     1.368     1.368     1.368     1.368     1.368     1.368     1.368
(  11, Gas_CHP       )  3005.797  3005.797  3005.797  3005.797  3005.797  3005.797  3005.797  3005.797  3005.797  3005.797  3005.797
(  11, Heat_pump     )   687.500   687.500   687.500   687.500   687.500   687.500   687.500   687.500   687.500   687.500   687.500
(  11, Solar_PV      )   246.235   246.235   246.235   246.235   246.235   246.235   246.235   246.235   246.235   246.235   246.235
(  11, Solar_thermal )     2.518     2.518     2.518     2.518     2.518     2.518     2.518     2.518     2.518     2.518     2.518
(  12, Gas_CHP       )  1852.122  1852.122  1852.122  1852.122  1852.122  1852.122  1852.122  1852.122  1852.122  1852.122  1852.122
(  12, Heat_pump     )   308.553   308.553   308.553   308.553   308.553   308.553   308.553   308.553   308.553   308.553   308.553
(  12, Solar_PV      )   293.262   293.262   293.262   293.262   293.262   293.262   293.262   293.262   293.262   293.262   293.262
(  12, Solar_thermal )     2.999     2.999     2.999     2.999     2.999     2.999     2.999     2.999     2.999     2.999     2.999
(  13, Gas_CHP       )  2369.743  2369.743  2369.743  2369.743  2363.855  2267.565  2489.571  2369.743  2369.743  2369.743  2369.743
(  13, Heat_pump     )   112.039   112.039   112.039   112.039   112.994   128.611    92.605   112.039   112.039   112.039   112.039
(  13, Solar_PV      )   335.478   335.478   335.478   335.478   335.478   335.478   335.478   335.478   335.478   335.478   335.478
(  13, Solar_thermal )     3.430     3.430     3.430     3.430     3.430     3.430     3.430     3.430     3.430     3.430     3.430
(  14, Gas_CHP       )  2897.525  2897.525  2897.525  2897.525  2897.525  2795.347  3017.353  2897.525  2897.525  2897.525  2897.525
(  14, Heat_pump     )   453.065   453.065   453.065   453.065   453.065   469.637   433.631   453.065   453.065   453.065   453.065
(  14, Solar_PV      )   292.501   292.501   292.501   292.501   292.501   292.501   292.501   292.501   292.501   292.501   292.501
(  14, Solar_thermal )     2.991     2.991     2.991     2.991     2.991     2.991     2.991     2.991     2.991     2.991     2.991
(  15, Gas_CHP       )  1758.899  1758.899  1758.899  1758.899  1758.899  1694.554  1668.608  1758.899  1758.899  1758.899  1758.899
(  15, Heat_pump     )   169.063   169.063   169.063   169.063   169.063   179.499   183.708   169.063   169.063   169.063   169.063
(  15, Solar_PV      )   239.965   239.965   239.965   239.965   239.965   239.965   239.965   239.965   239.965   239.965   239.965
(  15, Solar_thermal )     2.454     2.454     2.454     2.454     2.454     2.454     2.454     2.454     2.454     2.454     2.454
(  16, Gas_CHP       )  2297.151  2297.151  2297.151  2297.151  2297.151  2519.157  2297.151  2297.151  2297.151  2297.151  2379.891
(  16, Heat_pump     )   278.792   278.792   278.792   278.792   278.792   242.785   278.792   278.792   278.792   278.792   303.614
(  16, Solar_PV      )   136.913   136.913   136.913   136.913   136.913   136.913   136.913   136.913   136.913   136.913   136.913
(  16, Solar_thermal )     1.400     1.400     1.400     1.400     1.400     1.400     1.400     1.400     1.400     1.400     1.400
(  17, Gas_CHP       )  2311.811  1974.295  1974.295  1974.295  1974.295  1974.295  1974.295  1974.295  1974.295  1974.295  2312.361
(  17, Heat_pump     )   235.707   134.452   134.452   134.452   134.452   134.452   134.452   134.452   134.452   134.452   235.872
(  17, Solar_PV      )    19.838    19.838    19.838    19.838    19.838    19.838    19.838    19.838    19.838    19.838    19.838
(  17, Solar_thermal )     0.203     0.203     0.203     0.203     0.203     0.203     0.203     0.203     0.203     0.203     0.203
(  18, Gas_CHP       )  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333
(  18, Heat_pump     )   235.626   360.719   360.719   360.719   360.719   360.719   360.719   360.719   360.719   360.719   360.719
(  19, Gas_CHP       )  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333
(  19, Heat_pump     )   323.219   323.219   323.219   323.219   323.219   323.219   323.219   323.219   323.219   323.219   323.219
(  20, Gas_CHP       )  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333
(  21, Gas_CHP       )  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333
(  21, Heat_pump     )   116.276   116.276   116.276   116.276   116.276   116.276   116.276   116.276   116.276   116.276   116.276
(  22, Gas_CHP       )  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333
(  22, Heat_pump     )   502.906   502.906   502.906   502.906   502.906   502.906   502.906   502.906   502.906   502.906   352.906
(  23, Gas_CHP       )  2337.908  2337.908  2337.908  2755.299  2337.908  2337.908  2337.908  2337.908  2337.908  2337.908  2337.908
(  24, Gas_CHP       )   963.391   963.391   963.391   963.391   963.391   963.391   963.391   963.391   963.391   963.391   963.391
(  25, Gas_CHP       )   463.391   463.391   463.391   463.391   463.391   463.391   963.391   463.391   463.391   463.391   463.391
(  26, Gas_CHP       )   463.391   463.391   463.391   463.391   963.391   463.391   463.391   463.391   463.391   463.391   463.391
(  27, Gas_CHP       )  1054.647  1054.647  1054.647  1054.647  1054.647  1054.647  1554.647  1054.647  1054.647  1054.647  1054.647
(  28, Gas_CHP       )   992.186   992.186  1316.730   879.362   852.894   992.186   720.167   992.186  1058.234   992.186   992.186
(  28, Heat_pump     )   121.053   121.053    68.417    87.206    79.266   121.053    39.448   121.053   140.868   121.053   121.053
(  29, Gas_CHP       )  1019.913  1019.913  1019.913  1019.913  1019.913  1019.913  1013.401  1019.913  1019.913  1019.913  1344.457
(  29, Heat_pump     )   147.083   147.083   147.083   147.083   147.083   147.083   145.129   147.083   147.083   147.083    94.446
(  30, Gas_CHP       )  1057.321  1057.321  1057.321  1057.321  1057.321  1057.321  1381.865  1057.321  1057.321  1057.321  1057.321
(  30, Heat_pump     )   141.016   141.016   141.016   141.016   141.016   141.016    88.379   141.016   141.016   141.016   141.016
(  31, Gas_CHP       )  2084.747  2084.747  2084.747  2084.747  2084.747  2084.747  2084.747  2084.747  2084.747  2084.747  2084.747
(  31, Heat_pump     )   294.693   294.693   294.693   294.693   294.693   294.693   294.693   294.693   294.693   294.693   294.693
(  32, Gas_CHP       )  2902.569  2902.569  3227.112  2902.569  2902.569  2902.569  2902.569  2902.569  2902.569  2902.569  2902.569
(  32, Heat_pump     )   472.990   472.990   420.353   472.990   472.990   472.990   472.990   472.990   472.990   472.990   472.990
(  33, Gas_CHP       )  3192.777  3192.777  3192.777  3192.777  3192.777  3192.777  3192.777  3491.926  3192.777  3192.777  3192.777
(  33, Heat_pump     )   575.898   575.898   575.898   575.898   575.898   575.898   575.898   527.380   575.898   575.898   575.898
(  33, Solar_PV      )    15.792    15.792    15.792    15.792    15.792    15.792    15.792    15.792    15.792    15.792    15.792
(  33, Solar_thermal )     0.161     0.161     0.161     0.161     0.161     0.161     0.161     0.161     0.161     0.161     0.161
(  34, Gas_CHP       )  3296.361  3296.361  3296.361  3296.361  3296.361  3296.361  3296.361  3296.361  3296.361  3296.361  3296.361
(  34, Heat_pump     )   687.500   687.500   687.500   687.500   687.500   687.500   687.500   687.500   687.500   687.500   687.500
(  34, Solar_PV      )    68.383    68.383    68.383    68.383    68.383    68.383    68.383    68.383    68.383    68.383    68.383
(  34, Solar_thermal )     0.699     0.699     0.699     0.699     0.699     0.699     0.699     0.699     0.699     0.699     0.699
(  35, Gas_CHP       )  2941.627  2941.627  2941.627  2941.627  2941.627  2941.627  2941.627  2941.627  2941.627  2941.627  2941.627
(  35, Heat_pump     )   624.287   624.287   624.287   624.287   624.287   624.287   624.287   624.287   624.287   624.287   624.287
(  35, Solar_PV      )   122.484   122.484   122.484   122.484   122.484   122.484   122.484   122.484   122.484   122.484   122.484
(  35, Solar_thermal )     1.252     1.252     1.252     1.252     1.252     1.252     1.252     1.252     1.252     1.252     1.252
(  36, Gas_CHP       )  3090.662  3389.811  3389.811  3090.662  3090.662  3090.662  3090.662  3090.662  3090.662  3090.662  3090.662
(  36, Heat_pump     )   434.461   385.942   385.942   434.461   434.461   434.461   434.461   434.461   434.461   434.461   434.461
(  36, Solar_PV      )   143.032   143.032   143.032   143.032   143.032   143.032   143.032   143.032   143.032   143.032   143.032
(  36, Solar_thermal )     1.462     1.462     1.462     1.462     1.462     1.462     1.462     1.462     1.462     1.462     1.462
(  37, Gas_CHP       )  2035.172  2359.716  2035.172  2035.172  2035.172  2035.172  2035.172  2035.172  2035.172  2035.172  2035.172
(  37, Heat_pump     )   437.780   385.143   437.780   437.780   437.780   437.780   437.780   437.780   437.780   437.780   437.780
(  37, Solar_PV      )   605.687   605.687   605.687   605.687   605.687   605.687   605.687   605.687   605.687   605.687   605.687
(  37, Solar_thermal )     6.193     6.193     6.193     6.193     6.193     6.193     6.193     6.193     6.193     6.193     6.193
(  38, Gas_CHP       )   786.942   786.942   786.942   786.942   786.942   786.942   786.942   786.942   786.942   786.942   786.942
(  38, Heat_pump     )   343.809   343.809   343.809   343.809   343.809   343.809   343.809   343.809   343.809   343.809   343.809
(  38, Solar_PV      )  2420.989  2420.989  2420.989  2420.989  2420.989  2420.989  2420.989  2420.989  2420.989  2420.989  2420.989
(  38, Solar_thermal )    24.754    24.754    24.754    24.754    24.754    24.754    24.754    24.754    24.754    24.754    24.754
(  39, Gas_CHP       )  2226.932  2226.932  2226.932  2226.932  2226.932  2226.932  2226.932  2226.932  2226.932  2226.932  2226.932
(  39, Heat_pump     )   566.780   566.780   566.780   566.780   566.780   566.780   566.780   566.780   566.780   566.780   566.780
(  39, Solar_PV      )  2238.206  2238.206  2238.206  2238.206  2238.206  2238.206  2238.206  2238.206  2238.206  2238.206  2238.206
(  39, Solar_thermal )    22.886    22.886    22.886    22.886    22.886    22.886    22.886    22.886    22.886    22.886    22.886
(  40, Gas_CHP       )   989.627   989.627   989.627   989.627   989.627   989.627   989.627   989.627   989.627   989.627   989.627
(  40, Heat_pump     )   159.475   159.475   159.475   159.475   159.475   159.475   159.475   159.475   159.475   159.475   159.475
(  40, Solar_PV      )  1288.979  1288.979  1288.979  1288.979  1288.979  1288.979  1288.979  1288.979  1288.979  1288.979  1288.979
(  40, Solar_thermal )    13.180    13.180    13.180    13.180    13.180    13.180    13.180    13.180    13.180    13.180    13.180
(  41, Gas_CHP       )  3150.279  3150.279  3150.279  3150.279  3150.279  3150.279  3150.279  3150.279  3166.668  3150.279  3150.279
(  41, Heat_pump     )   423.243   423.243   423.243   423.243   423.243   423.243   423.243   423.243   428.160   423.243   423.243
(  41, Solar_PV      )   133.456   133.456   133.456   133.456   133.456   133.456   133.456   133.456   133.456   133.456   133.456
(  41, Solar_thermal )     1.365     1.365     1.365     1.365     1.365     1.365     1.365     1.365     1.365     1.365     1.365
(  42, Gas_CHP       )  3403.206  3403.206  3403.206  3403.206  3403.206  3403.206  3403.206  3403.206  3633.333  3403.206  3403.206
(  42, Heat_pump     )    69.918    69.918    69.918    69.918    69.918    69.918    69.918    69.918              69.918    69.918
(  43, Gas_CHP       )  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333
(  43, Heat_pump     )    37.281    37.281    37.281    37.281    37.281    37.281    37.281    37.281    37.281    37.281    37.281
(  44, Gas_CHP       )  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333
(  44, Heat_pump     )   187.281   187.281   187.281   187.281   187.281   187.281   187.281   187.281   187.281   187.281   187.281
(  45, Gas_CHP       )  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333
(  46, Gas_CHP       )  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333
(  47, Gas_CHP       )   963.391   963.391   963.391   963.391   963.391   963.391   963.391   963.391   963.391   963.391   963.391
(  48, Gas_CHP       )   963.391   963.391   963.391   963.391   963.391   963.391   963.391   963.391   963.391   963.391   963.391
(  49, Gas_CHP       )   693.205   693.205   693.205   693.205   693.205   693.205   693.205   693.205   693.205   693.205   693.205
(  50, Gas_CHP       )   828.285   828.285   828.285   828.285   828.285   828.285   828.285   816.475   828.285   828.285   828.285
(  50, Heat_pump     )    21.912    21.912    21.912    21.912    21.912    21.912    21.912    18.369    21.912    21.912    21.912
(  51, Gas_CHP       )   757.119   757.119   757.119   757.119   757.119   757.119   757.119  1145.603   757.119   757.119   757.119
(  51, Heat_pump     )    33.455    33.455    33.455    33.455    33.455    33.455    33.455              33.455    33.455    33.455
(  52, Gas_CHP       )  1039.530  1039.530  1364.073  1364.073  1039.530  1039.530  1039.530  1039.530  1039.530  1039.530  1039.530
(  52, Heat_pump     )   143.901   143.901    91.264    91.264   143.901   143.901   143.901   143.901   143.901   143.901   143.901
(  53, Gas_CHP       )  1416.185  1416.185  1416.185  1416.185  1416.185  1416.185  1416.185  1416.185  1416.185  1416.185  1416.185
(  53, Heat_pump     )   237.500   237.500   237.500   237.500   237.500   237.500   237.500   237.500   237.500   237.500   237.500
(  54, Gas_CHP       )  1107.046  1107.046  1107.046  1107.046  1107.046  1107.046  1107.046  1107.046  1107.046  1107.046  1107.046
(  54, Heat_pump     )   132.951   132.951   132.951   132.951   132.951   132.951   132.951   132.951   132.951   132.951   132.951
