Tertiary control power Daily;;;;;;;;
;;;;;;;;
Date;Time;Description;Power offered MW;Power allocated MW;Price CHF/MW;;;
01.01.2016;00:00 - 04:00;TRL-_s_00-04;5;0;55;0.055;0.055;0.055
01.01.2016;00:00 - 04:00;TRL-_s_00-04;10;10;65;0.065;0.065;0.065
01.01.2016;00:00 - 04:00;TRL-_s_00-04;65;65;66;0.066;0.066;0.066
01.01.2016;00:00 - 04:00;TRL-_s_00-04;59;59;78;0.078;0.078;0.078
01.01.2016;00:00 - 04:00;TRL-_s_00-04;10;10;80;0.08;0.08;0.08
01.01.2016;00:00 - 04:00;TRL-_s_00-04;70;0;129;0.129;0.08;0
01.01.2016;00:00 - 04:00;TRL-_s_00-04;20;0;130;0.13;0.08;0
01.01.2016;00:00 - 04:00;TRL-_s_00-04;80;0;178;0.178;0.08;0
01.01.2016;00:00 - 04:00;TRL-_s_00-04;25;0;200;0.2;0.08;0
01.01.2016;00:00 - 04:00;TRL-_s_00-04;10;0;200;0.2;0.08;0
01.01.2016;00:00 - 04:00;TRL-_s_00-04;25;0;250;0.25;0.08;0
01.01.2016;00:00 - 04:00;TRL-_s_00-04;80;0;349;0.349;0.08;0
01.01.2016;00:00 - 04:00;TRL-_s_00-04;25;0;350;0.35;0.08;0
01.01.2016;00:00 - 04:00;TRL-_s_00-04;18;0;400;0.4;0.08;0
01.01.2016;00:00 - 04:00;TRL-_s_00-04;35;0;1234;1.234;0.08;0
01.01.2016;04:00 - 08:00;TRL-_s_04-08;10;10;65;0.065;0.065;0.065
01.01.2016;04:00 - 08:00;TRL-_s_04-08;5;5;65;0.065;0.065;0
01.01.2016;04:00 - 08:00;TRL-_s_04-08;59;59;88;0.088;0.088;0.088
01.01.2016;04:00 - 08:00;TRL-_s_04-08;10;10;90;0.09;0.09;0.09
01.01.2016;04:00 - 08:00;TRL-_s_04-08;65;65;96;0.096;0.096;0.096
01.01.2016;04:00 - 08:00;TRL-_s_04-08;20;0;130;0.13;0.096;0
01.01.2016;04:00 - 08:00;TRL-_s_04-08;70;0;139;0.139;0.096;0
01.01.2016;04:00 - 08:00;TRL-_s_04-08;80;0;189;0.189;0.096;0
01.01.2016;04:00 - 08:00;TRL-_s_04-08;10;0;200;0.2;0.096;0
01.01.2016;04:00 - 08:00;TRL-_s_04-08;25;0;200;0.2;0.096;0
01.01.2016;04:00 - 08:00;TRL-_s_04-08;25;0;250;0.25;0.096;0
01.01.2016;04:00 - 08:00;TRL-_s_04-08;25;0;350;0.35;0.096;0
01.01.2016;04:00 - 08:00;TRL-_s_04-08;80;0;359;0.359;0.096;0
01.01.2016;04:00 - 08:00;TRL-_s_04-08;18;0;400;0.4;0.096;0
01.01.2016;04:00 - 08:00;TRL-_s_04-08;35;0;1234;1.234;0.096;0
01.01.2016;08:00 - 12:00;TRL-_s_08-12;5;5;30;0.03;0.03;0.03
01.01.2016;08:00 - 12:00;TRL-_s_08-12;10;10;48;0.048;0.048;0.048
01.01.2016;08:00 - 12:00;TRL-_s_08-12;5;5;51;0.051;0.051;0.051
01.01.2016;08:00 - 12:00;TRL-_s_08-12;59;59;59;0.059;0.059;0.059
01.01.2016;08:00 - 12:00;TRL-_s_08-12;65;65;69;0.069;0.069;0.069
01.01.2016;08:00 - 12:00;TRL-_s_08-12;10;0;75;0.075;0.069;0
01.01.2016;08:00 - 12:00;TRL-_s_08-12;20;0;90;0.09;0.069;0
01.01.2016;08:00 - 12:00;TRL-_s_08-12;70;0;119;0.119;0.069;0
01.01.2016;08:00 - 12:00;TRL-_s_08-12;25;0;200;0.2;0.069;0
01.01.2016;08:00 - 12:00;TRL-_s_08-12;10;0;200;0.2;0.069;0
01.01.2016;08:00 - 12:00;TRL-_s_08-12;80;0;209;0.209;0.069;0
01.01.2016;08:00 - 12:00;TRL-_s_08-12;25;0;250;0.25;0.069;0
01.01.2016;08:00 - 12:00;TRL-_s_08-12;80;0;339;0.339;0.069;0
01.01.2016;08:00 - 12:00;TRL-_s_08-12;25;0;350;0.35;0.069;0
01.01.2016;08:00 - 12:00;TRL-_s_08-12;18;0;400;0.4;0.069;0
01.01.2016;08:00 - 12:00;TRL-_s_08-12;35;0;1234;1.234;0.069;0
01.01.2016;12:00 - 16:00;TRL-_s_12-16;10;10;48;0.048;0.048;0.048
01.01.2016;12:00 - 16:00;TRL-_s_12-16;5;5;53;0.053;0.053;0.053
01.01.2016;12:00 - 16:00;TRL-_s_12-16;65;65;58;0.058;0.058;0.058
01.01.2016;12:00 - 16:00;TRL-_s_12-16;59;59;62;0.062;0.062;0.062
01.01.2016;12:00 - 16:00;TRL-_s_12-16;10;10;75;0.075;0.075;0.075
01.01.2016;12:00 - 16:00;TRL-_s_12-16;20;0;90;0.09;0.075;0
01.01.2016;12:00 - 16:00;TRL-_s_12-16;70;0;129;0.129;0.075;0
01.01.2016;12:00 - 16:00;TRL-_s_12-16;80;0;166;0.166;0.075;0
01.01.2016;12:00 - 16:00;TRL-_s_12-16;25;0;200;0.2;0.075;0
01.01.2016;12:00 - 16:00;TRL-_s_12-16;10;0;200;0.2;0.075;0
01.01.2016;12:00 - 16:00;TRL-_s_12-16;25;0;250;0.25;0.075;0
01.01.2016;12:00 - 16:00;TRL-_s_12-16;80;0;349;0.349;0.075;0
01.01.2016;12:00 - 16:00;TRL-_s_12-16;25;0;350;0.35;0.075;0
01.01.2016;12:00 - 16:00;TRL-_s_12-16;18;0;400;0.4;0.075;0
01.01.2016;12:00 - 16:00;TRL-_s_12-16;35;0;1234;1.234;0.075;0
01.01.2016;16:00 - 20:00;TRL-_s_16-20;5;5;28.8;0.0288;0.0288;0.0288
01.01.2016;16:00 - 20:00;TRL-_s_16-20;5;5;30;0.03;0.03;0.03
01.01.2016;16:00 - 20:00;TRL-_s_16-20;5;5;40;0.04;0.04;0.04
01.01.2016;16:00 - 20:00;TRL-_s_16-20;65;65;46;0.046;0.046;0.046
01.01.2016;16:00 - 20:00;TRL-_s_16-20;59;59;48;0.048;0.048;0.048
