Tertiary control power Weekly;;;;;;;;;;;;
;;;;;;;;;;;;
Date;Description;Power offered MW;Power allocated MW;Price CHF/MW;;0;;;;;;
28.12.2015;TRL-_l;5;5;680;0.68;0;;;;;;READ!!
28.12.2015;TRL-_l;16;16;849;0.849;0.849;0;;1.499;1.499;;1.499
28.12.2015;TRL-_l;5;5;880;0.88;0.88;0;;1.499;0;;1.91
28.12.2015;TRL-_l;5;5;979;0.979;0.979;0;;1.499;0;;2.141
28.12.2015;TRL-_l;5;5;988;0.988;0.988;0;;1.499;0;;1.299
28.12.2015;TRL-_l;6;6;999;0.999;0.999;0;;1.499;0;;1.426
28.12.2015;TRL-_l;100;35;1099;1.099;1.099;0;;1.499;0;;1.138
28.12.2015;TRL-_l;75;40;1499;1.499;1.499;0;;1.499;0;;1.188
28.12.2015;TRL-_l;59;0;2999;2.999;1.499;0;;1.499;0;;0.799
28.12.2015;TRL-_l;65;0;4000;4;1.499;1.499;;1.499;0;;0.699
28.12.2015;TRL-_l;10;0;5040;5.04;1.499;1.499;;1.499;0;;0.659
28.12.2015;TRL-_l;15;0;7303;7.303;1.499;1.499;;1.91;1.91;;0.525
28.12.2015;TRL-_l;30;0;7424;7.424;1.499;1.499;;1.91;0;;0.68
28.12.2015;TRL-_l;10;0;8400;8.4;1.499;1.499;;1.91;0;;0.488
28.12.2015;TRL-_l;10;0;9670;9.67;1.499;1.499;;1.91;0;;0.517
28.12.2015;TRL-_l;65;0;15000;15;1.499;1.499;;1.91;0;;0.444
28.12.2015;TRL-_l;65;0;50000;50;1.499;1.499;;1.91;0;;0.38
28.12.2015;TRL-_l;60;0;99999;99.999;1.499;1.499;;1.91;0;;0.399
04.01.2016;TRL-_l;5;5;680;0.68;1.499;1.499;;1.91;0;;0.358
04.01.2016;TRL-_l;16;16;779;0.779;0.779;0;;1.91;0;;0.399
04.01.2016;TRL-_l;100;65;988;0.988;0.988;0;;1.91;0;;0.44
04.01.2016;TRL-_l;17;17;1092;1.092;1.092;0;;1.91;0;;0.449
04.01.2016;TRL-_l;6;6;1399;1.399;1.399;0;;1.91;0;;0.429
04.01.2016;TRL-_l;65;65;1499;1.499;1.499;0;;2.141;2.141;;0.399
04.01.2016;TRL-_l;50;20;1901;1.901;1.901;0;;2.141;0;;0.368
04.01.2016;TRL-_l;5;0;2222;2.222;1.901;0;;2.141;0;;0.335
04.01.2016;TRL-_l;75;0;2291;2.291;1.901;1.901;;2.141;0;;0.295
04.01.2016;TRL-_l;5;0;2450;2.45;1.901;1.901;;2.141;0;;0.248
04.01.2016;TRL-_l;59;0;2499;2.499;1.901;1.901;;2.141;0;;0.175
04.01.2016;TRL-_l;10;0;4200;4.2;1.901;1.901;;2.141;0;;0.146
