;;;#of times;de;;;
0:00;1;3.8;4;1;3.8;;0.0038
;5;6;4;2;3.8;;0.0038
;9;12.8;4;3;3.8;;0.0038
;13;13;4;4;3.8;;0.0038
;17;35;4;5;6;;0.006
;21;9;4;6;6;;0.006
;25;4;4;7;6;;0.006
;29;5.8;4;8;6;;0.006
;33;14.8;4;9;12.8;;0.0128
;37;14.8;4;10;12.8;;0.0128
;41;18;4;11;12.8;;0.0128
;45;12;4;12;12.8;;0.0128
;49;3;4;13;13;;0.013
;53;4.2;4;14;13;;0.013
;57;11;4;15;13;;0.013
;61;10;4;16;13;;0.013
;65;13;4;17;35;;0.035
;69;8;4;18;35;;0.035
;73;2.6;4;19;35;;0.035
;77;4.2;4;20;35;;0.035
;81;9.5;4;21;9;;0.009
;85;8;4;22;9;;0.009
;89;10;4;23;9;;0.009
;93;7;4;24;9;;0.009
;97;2.1;4;25;4;;0.004
;101;3.4;4;26;4;;0.004
;105;7.8;4;27;4;;0.004
;109;6.8;4;28;4;;0.004
;113;8;4;29;5.8;;0.0058
;117;5.8;4;30;5.8;;0.0058
;121;2;4;31;5.8;;0.0058
;125;2.9;4;32;5.8;;0.0058
;129;5.2;4;33;14.8;;0.0148
;133;3.7;4;34;14.8;;0.0148
;137;5.9;4;35;14.8;;0.0148
;141;3.7;4;36;14.8;;0.0148
;145;2;4;37;14.8;;0.0148
;149;2.9;4;38;14.8;;0.0148
;153;2.5;4;39;14.8;;0.0148
;157;2.3;4;40;14.8;;0.0148
;161;2.4;4;41;18;;0.018
;165;2.2;4;42;18;;0.018
;169;2.6;4;43;18;;0.018
;173;3.8;4;44;18;;0.018
;177;7.79;4;45;12;;0.012
;181;6.6;4;46;12;;0.012
;185;9.5;4;47;12;;0.012
;189;5.5;4;48;12;;0.012
;193;2.6;4;49;3;;0.003
;197;4;4;50;3;;0.003
;201;7.5;4;51;3;;0.003
;205;6.5;4;52;3;;0.003
;209;7.6;4;53;4.2;;0.0042
;213;5.2;4;54;4.2;;0.0042
;217;2.4;4;55;4.2;;0.0042
;221;3.5;4;56;4.2;;0.0042
;225;8;4;57;11;;0.011
;229;5.9;4;58;11;;0.011
;233;7.5;4;59;11;;0.011
;237;4.9;4;60;11;;0.011
;241;2.1;4;61;10;;0.01
;245;3.3;4;62;10;;0.01
;249;7.5;4;63;10;;0.01
;253;5.6;4;64;10;;0.01
;257;7.3;4;65;13;;0.013
;261;4.6;4;66;13;;0.013
;265;2;4;67;13;;0.013
