Technology name,Heat pump,Electric boiler,Gas boiler,Gas CHP,Solar PV,Solar thermal
Output type,Heat,Heat,Heat,"""Heat,Elec""",Elec,Heat
Input type,Elec,Elec,Gas,Gas,Solar,Solar
Lifetime,20,30,30,20,25,25
Capital cost per kW,2270,380,730,2870,435,1350
Capital cost fixed,0,0,0,0,0,0
OM cost per kWh,0.1,0.01,0.01,0.021,0.06,0.12
OM cost fixed,0,0,0,0,0,0
Efficiency,3.2,0.95,0.94,0.3,0.17,0.75
Minimum part load,0,0,0,0,0,0
Heat to power ratio,0,0,0,1.73,0,0
Minimum capacity,0,0,0,0,0,0
Maximum capacity,100000,100000,100000,100000,0,0
