Technology name,Gas boilers,CHP unit,PVT panels,Heat pumps,PV panels
Output type 1,Heat,Elec,Elec,Heat,Elec
Output type 2,,Heat,Heat,,
Input type 1,Gas,Gas,Solar,Elec,Solar
Input type 2,,,,Anergy,
Lifetime,30,20,25,20,25
Capital cost (per kW or m2 for solar),730,2870,860,2270,325
Capital cost fixed,0,0,0,0,0
OM cost per kWh,0.01,0.021,0.12,0.1,0.06
OM cost fixed,0,0,0,0,0
Efficiency,0.94,0.3,0.174,4,0.18
Minimum part load,0,0,0,0,0
Output ratio,0,1.73,3.45,0,0
Input ratio,0,0,0,3,0
Minimum capacity,0,0,0,0,0
Maximum capacity,1000,1000,2129,1000,2129
